chebi_id,InChIKey
15349,PXAJQJMDEXJWFB-UHFFFAOYSA-N
15368,HGINCPLSRVDWNT-UHFFFAOYSA-N
15372,FNKQXYHWGSIFBK-UHFFFAOYSA-N
15375,FEMXZDUTFRTWPE-AWFVSMACSA-N
15380,VNOYUJKHFWYWIR-ITIYDSSPSA-N
15390,JCMPRFCVZKOFIT-KRWDZBQOSA-N
15426,UYADDEKIZFRINK-LURJTMIESA-N
15427,OHWCFZJEIHZWMN-LURJTMIESA-N
15430,KSFOVUSSGSKXFI-UJJXFSCMSA-N
15436,VZVFNUAIRVUCEW-UJJXFSCMSA-N
15439,NIUVHXTXUXOFEB-UHFFFAOYSA-N
15454,HJQWLHMLMCDAEL-ZTGLTYRUSA-N
15460,WFGNMSCJASVFQK-XNKJMYHLSA-N
15493,MNYDLIUNNOCPHG-TUTZYBGQSA-N
15500,LTVXPVBFJBTNIJ-TYHXJLICSA-N
15513,POODSGUMUCVRTR-IEXPHMLFSA-N
15516,WNMONPKUDXWVKE-OLABLILRSA-N
15525,MNBKLUUYKPBKDU-BBECNAHFSA-N
15536,RXUATCUKICAIOA-ZMHDXICWSA-N
15548,VXPBDCBTMSKCKZ-XQHNHVHJSA-N
15551,XEYBRNLFEZDVAW-ARSRFYASSA-N
15557,XEQAHADLFLAPQL-RBIQQSKKSA-N
15570,QNAYBMKLOCPYGJ-UWTATZPHSA-N
15571,OAKJQQAXSVQMHS-UHFFFAOYSA-N
15575,QJEQHVALLZCTGC-HPNIRRCESA-N
15600,PFTAWBLQPZVEMU-DZGCQCFKSA-N
15615,QFOFNCNFUGQWTO-DYVFJYSZSA-N
15639,YCWUVLPMLLBDCU-STQMWFEESA-N
15640,VVIAGPKUTFNRDU-ABLWVSNPSA-N
15643,ZHQJVZLJDXWFFX-ZMIZWQJLSA-N
15655,JDSRHVWSAMTSSN-IRQZEAMPSA-N
15659,LYAHJFZLDZDIOH-SOFGYWHQSA-N
15660,LYAHJFZLDZDIOH-VURMDHGXSA-N
15669,WBYWAXJHAXSJNI-VOTSOKGWSA-M
15670,XVOUMQNXTGKGMA-OWOJBTEDSA-N
15678,POJWUDADGALRAB-SFOWXEAESA-N
15683,PAZZVPKITDJCPV-QGZVFWFLSA-M
15689,JTEYKUFKXGDTEU-UHFFFAOYSA-N
15709,JWVYQQGERKEAHW-UHFFFAOYSA-N
15720,BZXZFDKIRZBJEP-GTOOTHNYSA-M
15727,CQOVPNPJLQNMDC-ZETCQYMHSA-N
15746,PFNFFQXMRSDOHW-UHFFFAOYSA-N
15749,KJOVGYUGXHIVAY-BXTBVDPRSA-N
15757,MPUUQNGXJSEWTF-BYPYZUCNSA-N
15769,XQYALQVLCNHCFT-CBAPKCEASA-N
15775,RTGHRDFWYQHVFW-UHFFFAOYSA-L
15786,ZRJHLGYVUCPZNH-MQWKRIRWSA-O
15788,XSXYVLIPQMXCBV-UHFFFAOYSA-N
15802,HXAJMKJPBQFASJ-UITAMQMPSA-N
15816,ODKSFYDXXFIFQN-SCSAIBSYSA-N
15823,IXPYGZIWHPPILV-NALJQGANSA-N
15829,LFZGUGJDVUUGLK-REOHCLBHSA-N
15868,RSPRLQAZJOAGFP-QCNRFFRDSA-N
15880,VSSDMJHMYISZJU-GSVOUGTGSA-N
15893,DWAKNKKXGALPNW-UHFFFAOYSA-M
15899,SIGQQUBJQXSAMW-ZCFIWIBFSA-N
15903,WQZGKKKJIJFFOK-VFUOTHLCSA-N
15908,JPIJQSOTBSSVTP-STHAYSLISA-N
15925,OVPRPPOVAXRCED-WVZVXSGGSA-N
15932,NTDLXWMIWOECHG-YRCFQSNFSA-N
15934,XKQZIXVJVUPORE-RPDRRWSUSA-N
15945,PHOQVHQSTUBQQK-MGCNEYSASA-N
15954,VFRROHXSMXFLSN-SLPGGIOYSA-N
15964,HCAJEUSONLESMK-UHFFFAOYSA-N
15970,MYFVWSDZEBSNKM-REOHCLBHSA-N
15975,DSCFFEYYQKSRSV-GWJPIIGYSA-N
15998,FCQGJGLSOWZZON-UHFFFAOYSA-N
15999,KKADPXVIOXHVKN-UHFFFAOYSA-N
16011,YIWUKEYIRIRTPP-UHFFFAOYSA-N
16015,WHUUTDBJXJRKMK-VKHMYHEASA-N
16106,RNYNGUYSDYOCLB-UHFFFAOYSA-N
16118,YBHILYKTIRIUTE-UHFFFAOYSA-N
16130,YVGGHNCTFXOJCH-UHFFFAOYSA-N
16133,XCIXKGXIYUWCLL-UHFFFAOYSA-N
16162,AMKYESDOVDKZKV-UHFFFAOYSA-M
16163,GBFLZEXEOZUWRN-VKHMYHEASA-N
16168,BLHCMGRVFXRYRN-UHFFFAOYSA-N
16176,AHLPHDHHMVZTML-SCSAIBSYSA-N
16196,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
16200,UUNPIWCQMVNINR-UHFFFAOYSA-N
16205,YKOQAAJBYBTSBS-UHFFFAOYSA-N
16227,JUJWROOIHBZHMG-UHFFFAOYSA-N
16238,VWWQXMAJTJZDQX-UYBVJOGSSA-N
16239,VDARBCCMTDKLBW-ZJUUUORDSA-N
16268,MCSAJNNLRCFZED-UHFFFAOYSA-N
16270,ZRBMNUPECIGKKJ-UHFFFAOYSA-N
16278,DVIFFQAOYQDXGL-UHFFFAOYSA-N
16284,SUYVUBYJARFZHO-RRKCRQDMSA-N
16285,RLCKHJSFHOZMDR-UHFFFAOYSA-N
16286,HCOOTBJPHHNRCV-AQTSNUJDSA-N
16305,NTRBNFOLBJWRAO-INIZCTEOSA-N
16309,HWAQOZGATRIYQG-UHFFFAOYSA-M
16311,RGWHQCVHVJXOKC-SHYZEUOFSA-N
16319,BCPSFKBPHHBDAI-LURJTMIESA-N
16327,ONGPAWNLFDCRJE-UHFFFAOYSA-N
16345,ADVPTQAUNPRNPO-REOHCLBHSA-N
16351,RJDBNSZFZDWPFL-WEDYNZIRSA-N
16353,HUJXHFRXWWGYQH-UHFFFAOYSA-O
16354,RHYBFKMFHLPQPH-UHFFFAOYSA-N
16390,RHCPKKNRWFXMAT-RRWYKFPJSA-N
16392,CUOKHACJLGPRHD-FLRLBIABSA-N
16411,SEOVTRFCIGRIMH-UHFFFAOYSA-N
16424,DTUQWGWMVIHBKE-UHFFFAOYSA-N
16436,RZZPDXZPRHQOCG-OJAKKHQRSA-N
16458,NSYSSMYQPLSPOD-UHFFFAOYSA-N
16459,IPWFJLQDVFKJDU-UHFFFAOYSA-N
16463,HZDCAHRLLXEQFY-UHFFFAOYSA-N
16482,UFWIBTONFRDIAS-UHFFFAOYSA-N
16489,UYEUUXMDVNYCAM-UHFFFAOYSA-N
16503,SPVXKVOXSXTJOY-UHFFFAOYSA-N
16512,IPABSWBNWMXCHM-LBOXEOMUSA-N
16542,UQDJGEHQDNVPGU-BYPYZUCNSA-N
16555,DUYAAUVXQSMXQP-UHFFFAOYSA-N
16576,DEFJQIDDEAULHB-QWWZWVQMSA-N
16592,VZTUIEROBZXUFA-INIZCTEOSA-N
16594,PCEJMSIIDXUDSN-UHFFFAOYSA-M
16602,XSTXAVWGXDQKEL-UHFFFAOYSA-N
16607,QRZMXADUXZADTF-UHFFFAOYSA-N
16615,XFLVBMBRLSCJAI-ZKWXMUAHSA-N
16622,CNLFCQPCBQQMHK-XINAWCOVSA-N
16634,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N
16651,JVTAAEKCZFNVCJ-REOHCLBHSA-M
16653,HUNLTIZKNQDZEI-PGFZVWMDSA-N
16656,QQXLDOJGLXJCSE-KNVOCYPGSA-N
16669,UCYNJPYWOSFBAT-CVYQJGLWSA-M
16683,YXJHZIOEJRCYHK-UHFFFAOYSA-N
16688,UPEZCKBFRMILAV-JMZLNJERSA-N
16691,AUTOLBMXDDTRRT-UHFFFAOYSA-N
16712,CQQGIWJSICOUON-UWTATZPHSA-N
16713,GLKCOBIIZKYKFN-UHFFFAOYSA-N
16731,KJPRLNWUNMBNBZ-QPJJXVBHSA-N
16734,DZTHIGRZJZPRDV-GFCCVEGCSA-N
16742,PXQPEWDEAKTCGB-UHFFFAOYSA-N
16751,WOHYVFWWTVNXTP-QPEGTHMASA-N
16767,SDYWXFYBZPNOFX-UHFFFAOYSA-N
16771,LDEMREUBLBGZBO-KQYNXXCUSA-N
16778,KMOUJOKENFFTPU-QNDFHXLGSA-N
16789,PYMYPHUHKUWMLA-UOWFLXDJSA-N
16795,VHVGNTVUSQUXPS-YUMQZZPRSA-N
16803,QSACCXVHEVWNMX-UHFFFAOYSA-M
16804,YRYCIFUZSUMAAY-UHFFFAOYSA-N
16805,RDQUQBHPMYFYMX-XIWVQZPPSA-N
16806,VRZJGNXBSRQZGM-UHFFFAOYSA-M
16809,BCUVLMCXSDWQQC-SLPGGIOYSA-N
16811,FFEARJCKVFRZRR-UHFFFAOYSA-N
16820,RSYYQCDERUOEFI-SNVBAGLBSA-N
16825,WJOBFSVTSCWIDG-JTQLQIEISA-N
16843,BACDCBUEYBFLFV-JGVFFNPUSA-N
16870,SUHOQUVVVLNYQR-MRVPVSSYSA-N
16880,ZAQJHHRNXZUBTE-UCORVYFPSA-N
16886,ZRHONLCTYUYMIQ-TZFCGSKZSA-N
16891,HHLFWLYXYJOTON-UHFFFAOYSA-N
16895,ACWASDPGAVYCNI-JKUQZMGJSA-N
16927,ZDGJAHTZVHVLOT-YUMQZZPRSA-N
16934,BXRLWGXPSRYJDZ-VKHMYHEASA-N
16938,IJOJIVNDFQSGAB-SQOUGZDYSA-N
16944,SAUCHDKDCUROAO-VKHMYHEASA-M
16948,LZKNVSNNPRQZJB-DBRKOABJSA-N
16964,JDBGXEHEIRGOBU-UHFFFAOYSA-N
16974,PRJKNHOMHKJCEJ-UHFFFAOYSA-N
16984,VIHYIVKEECZGOU-UHFFFAOYSA-N
16990,BPYKTIZUTYGOLE-IFADSCNNSA-N
17010,VNPWVMVYUSNFAW-WFMPWKQPSA-N
17016,QEFRNWWLZKMPFJ-YGVKFDHGSA-N
17031,RNSBFHHWMMKJAM-UHFFFAOYSA-N
17048,WQTCGADWPORGNB-UHFFFAOYSA-N
17059,JPKKMFOXWKNEEN-UHFFFAOYSA-N
17076,UCSJYZPVAKXKNQ-HZYVHMACSA-N
17077,XONDRGRALZTVKD-ZMIZWQJLSA-N
17078,HKBNQXMLSMKLJV-BQBZGAKWSA-N
17092,ASBJGPTTYPEMLP-UWTATZPHSA-N
17097,ZUOUZKKEUPVFJK-UHFFFAOYSA-N
17109,LLAWHKBFIBTIBH-UHFFFAOYSA-N
17113,UNXHWFMMPAWVPI-ZXZARUISSA-N
17127,QQGLQYQXUKHWPX-RFEZBLSLSA-N
17148,KIDHWZJUCRJVML-UHFFFAOYSA-N
17160,VOXZDWNPVJITMN-SFFUCWETSA-N
17164,UQZIYBXSHAGNOE-XNSRJBNMSA-N
17165,BJGNCJDXODQBOB-SSDOTTSWSA-N
17184,MBEIHNKADVMCJM-UHFFFAOYSA-N
17205,HYVSZVZMTYIHKF-UHFFFAOYSA-L
17225,GVTRUVGBZQJVTF-YJYMSZOUSA-N
17232,KABXUUFDPUOJMW-BYPYZUCNSA-N
17233,HLDTVPRYVAHRIQ-BQGMYUGNSA-N
17247,DBFMBHXVWIURSV-UHFFFAOYSA-N
17254,ZBCATMYQYDCTIZ-UHFFFAOYSA-N
17261,YTTRPBWEMMPYSW-HRRFRDKFSA-N
17275,NJMGRJLQRLFQQX-HYXAFXHYSA-N
17279,GLXUWZBUPATPBR-BQBZGAKWSA-N
17281,YIXDEYPPAGPYDP-IUYQGCFVSA-N
17294,CUHFIPBCFIPFJM-JXSBNBLESA-O
17314,BYCZEMFWXYCUSJ-UHFFFAOYSA-N
17316,BQSMUQUKNCGJCT-SLPGGIOYSA-N
17325,NPOAOTPXWNWTSH-UHFFFAOYSA-L
17343,FSVMLWOLZHGCQX-SOUVJXGZSA-N
17352,MAGPZHKLEZXLNU-SSDOTTSWSA-N
17355,RVHKMLVNOXVQRH-LURJTMIESA-N
17358,UYYDRBKHPQBWOH-UHFFFAOYSA-N
17359,LSNNMFCWUKXFEE-UHFFFAOYSA-L
17365,FHXOPKKNGKBBKG-DXLKSGPOSA-N
17376,LEVWYRKDKASIDU-UHFFFAOYSA-N
17382,MDLTWTOQCHCLSZ-RGCYKPLRSA-N
17388,DWAKNKKXGALPNW-BYPYZUCNSA-M
17394,DATAGRPVKZEWHA-YFKPBYRVSA-N
17403,ASBJGPTTYPEMLP-REOHCLBHSA-N
17406,JEJNWEREQWMOHB-UHFFFAOYSA-N
17411,MBLBDJOUHNCFQT-LXGUWJNJSA-N
17416,QXGJCWSBOZXWOV-UHFFFAOYSA-N
17436,OKZYCXHTTZZYSK-ZCFIWIBFSA-N
17447,GLZPCOQZEFWAFX-JXMROGBWSA-N
17494,PUBYMNIINUUJLL-JOCQNMFKSA-N
17505,VCWMRQDBPZKXKG-DXNLKLAMSA-N
17536,NUCLJNSWZCHRKL-UHFFFAOYSA-M
17546,KDMDLRXLBMMBSU-UITAMQMPSA-N
17589,ICMVYBXQDUXEEE-BXTBVDPRSA-L
17601,SXDXRJZUAJBNFL-XKSSXDPKSA-N
17614,HVRNKDVLFAVCJF-VJANTYMQSA-N
17628,LYIIBVSRGJSHAV-UHFFFAOYSA-N
17633,BUFLLCUFNHESEH-UUOKFMHZSA-N
17637,HCJMNOSIAGSZBM-UHFFFAOYSA-N
17641,AXRMZRLNCOVFJZ-UHFFFAOYSA-N
17648,OXCQKAQOLIIWJO-URQYDQELSA-N
17652,LKZIEAUIOCGXBY-AOIFVJIMSA-L
17675,PTGHKNQEZNRQKY-UHFFFAOYSA-N
17705,UMOXFSXIFQOWTD-LURJTMIESA-N
